trial_index,run_name,group,seed,collision_reward,high_speed_reward,right_lane_reward,model_path,video_path,mean_reward,std_reward,eval_collision,eval_episode_length,eval_episode_reward,eval_mean_abs_delta_steering,eval_mean_abs_delta_throttle,eval_mean_forward_speed,eval_offroad,eval_right_lane_ratio,eval_steering_var,eval_throttle_var,elapsed_seconds
16,t16_crm100_hs060_rl000,grid,57,-1.0,0.6,0.0,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t16_crm100_hs060_rl000\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t16_crm100_hs060_rl000\t16_crm100_hs060_rl000-episode-0.mp4,84.50885962510021,72.12701452362985,0.5,133.3,84.50885962510021,0.07322306521236896,0.005088216997683049,14.555840539932252,0.5,0.5346018224954605,0.08038839339278639,0.0020697666914202273,3734.247355699539
17,t17_crm100_hs060_rl005,grid,58,-1.0,0.6,0.05,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t17_crm100_hs060_rl005\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t17_crm100_hs060_rl005\t17_crm100_hs060_rl005-episode-0.mp4,66.25853392611157,59.54741647421681,0.5,104.5,66.25853392611157,0.061284924671053884,0.004763307212851941,16.14259090423584,0.5,0.5440955221652984,0.042866618791595104,0.0018343384697800502,3705.685747861862
18,t18_crm100_hs060_rl010,grid,59,-1.0,0.6,0.1,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t18_crm100_hs060_rl010\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t18_crm100_hs060_rl010\t18_crm100_hs060_rl010-episode-0.mp4,43.61734761091245,47.549158728453236,0.7,69.0,43.61734761091245,0.06943272650241852,0.006058970047160983,18.371700525283813,0.3,0.5087017983198165,0.030552209611050783,0.0014091422752244398,3796.786397218704
19,t19_crm150_hs025_rl000,grid,60,-1.5,0.25,0.0,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t19_crm150_hs025_rl000\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t19_crm150_hs025_rl000\t19_crm150_hs025_rl000-episode-0.mp4,86.1693576900168,98.77526007469064,0.7,100.8,86.1693576900168,0.05530556589365006,0.005107218166813254,16.76171851158142,0.3,0.44502085745334624,0.03682990870438516,0.002142748114420101,3799.787964105606
20,t20_crm150_hs025_rl005,grid,61,-1.5,0.25,0.05,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t20_crm150_hs025_rl005\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t20_crm150_hs025_rl005\t20_crm150_hs025_rl005-episode-0.mp4,68.19161346285205,49.9535221086186,0.5,80.9,68.19161346285205,0.053174091316759584,0.006825877353549004,14.401244354248046,0.5,0.4897101730108261,0.032588713732548055,0.004247329322242877,3809.6825408935547
21,t21_crm150_hs025_rl010,grid,62,-1.5,0.25,0.1,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t21_crm150_hs025_rl010\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t21_crm150_hs025_rl010\t21_crm150_hs025_rl010-episode-0.mp4,80.5825317087872,65.83145386177841,0.5,95.8,80.5825317087872,0.048281094431877135,0.004874187591485679,14.979484033584594,0.5,0.5518058508634567,0.056689735129475595,0.0024416740066953934,3803.6452367305756
22,t22_crm150_hs040_rl000,grid,63,-1.5,0.4,0.0,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t22_crm150_hs040_rl000\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t22_crm150_hs040_rl000\t22_crm150_hs040_rl000-episode-0.mp4,44.69225767562515,52.45465582681117,0.8,56.5,44.69225767562515,0.0717141792178154,0.005633761081844569,18.84214553833008,0.2,0.4990075886249542,0.04521266010124236,0.0012245561272720806,3842.97313785553
23,t23_crm150_hs040_rl005,grid,64,-1.5,0.4,0.05,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t23_crm150_hs040_rl005\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t23_crm150_hs040_rl005\t23_crm150_hs040_rl005-episode-0.mp4,58.935861634404475,60.245404930539095,0.7,74.8,58.935861634404475,0.06278973743319512,0.005014760605990887,17.27956004142761,0.3,0.5518412083387375,0.07034267578274012,0.0015309971779061016,3848.061092376709
24,t24_crm150_hs040_rl010,grid,65,-1.5,0.4,0.1,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t24_crm150_hs040_rl010\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t24_crm150_hs040_rl010\t24_crm150_hs040_rl010-episode-0.mp4,71.8864271570377,63.7199593932285,0.6,91.9,71.8864271570377,0.06870470717549323,0.0056630515726283194,15.837153100967408,0.4,0.5577460646629333,0.0647139604203403,0.0018457088532159104,3709.5483951568604
25,t25_crm150_hs060_rl000,grid,66,-1.5,0.6,0.0,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t25_crm150_hs060_rl000\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t25_crm150_hs060_rl000\t25_crm150_hs060_rl000-episode-0.mp4,111.61723756342136,86.65089279568494,0.4,155.1,111.61723756342136,0.04584048949182033,0.004895252687856555,13.881743764877319,0.4,0.5149390488862992,0.060378695093095305,0.002044916406885022,3823.2557492256165
26,t26_crm150_hs060_rl005,grid,67,-1.5,0.6,0.05,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t26_crm150_hs060_rl005\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t26_crm150_hs060_rl005\t26_crm150_hs060_rl005-episode-0.mp4,51.762660410457535,38.95965135985001,0.6,71.9,51.762660410457535,0.06512109450995922,0.0052751099923625585,17.899515628814697,0.4,0.5374681800603867,0.021568303066305815,0.0015870476985583083,3969.987063407898
27,t27_crm150_hs060_rl010,grid,68,-1.5,0.6,0.1,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t27_crm150_hs060_rl010\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t27_crm150_hs060_rl010\t27_crm150_hs060_rl010-episode-0.mp4,93.69967523423311,52.62965946882422,0.4,131.4,93.69967523423311,0.038362563215196134,0.004681623401120305,12.682878875732422,0.6,0.537222346663475,0.06151735654566437,0.0027274946725810876,3934.1160731315613
28,t28_base_r01,baseline_repeat,142,-1.0,0.4,0.1,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t28_base_r01\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t28_base_r01\t28_base_r01-episode-0.mp4,47.60852528603545,52.21736806168965,0.7,66.4,47.60852528603545,0.05738112740218639,0.006636112229898572,18.319670820236205,0.3,0.5471745193004608,0.03616250390186906,0.0015711701540567446,3386.988857984543
29,t29_base_r02,baseline_repeat,143,-1.0,0.4,0.1,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t29_base_r02\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t29_base_r02\t29_base_r02-episode-0.mp4,78.41062223671301,63.55278645211579,0.4,110.2,78.41062223671301,0.045550988800823686,0.004544418025761843,14.725956630706786,0.5,0.5487246096134186,0.029227057984098793,0.0028059823853254784,3240.7403275966644
30,t30_base_r03,baseline_repeat,144,-1.0,0.4,0.1,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\m\t30_base_r03\ppo_highway.zip,C:\Users\aha173\OneDrive - American University of Beirut\AGV research\high-level path following\high-level path planning\src\deep_learning\Elurant_PPO\reward_function_study\v\t30_base_r03\t30_base_r03-episode-0.mp4,98.36359418685872,79.35262378539932,0.5,141.4,98.36359418685872,0.05184399504214525,0.00462182720657438,13.844828462600708,0.5,0.4590915411710739,0.039929992612451316,0.0020133514743065463,3274.519467353821
