#{"t_start": 1774356949.408279, "env_id": "None"}
r,l,t
-1.0,1,2.146382
-0.995968,5,3.583963
-0.998511,2,4.140755
-0.997059,4,5.265596
-1.0,1,5.575503
-0.996286,5,7.410253
-0.999018,2,8.175737
-1.0,1,8.544868
-0.998402,2,9.193066
-1.0,1,9.525123
-0.992273,8,12.223055
-0.993768,7,14.529479
-0.998509,2,15.196279
-0.994853,5,16.847245
-0.998855,3,17.895477
-0.996382,5,19.433849
-0.994824,6,21.54695
-0.998009,4,22.961858
-0.995199,5,24.485081
-0.998486,2,25.114303
-0.994956,5,26.624614
-0.997222,3,27.605766
-0.994245,6,29.418871
-0.988919,10,32.38753
-0.998467,2,32.976759
-0.99427,6,34.709816
-0.987644,10,37.626239
-0.997203,4,38.767096
-0.995857,4,39.864612
-0.996177,4,40.951042
-0.998541,2,41.523459
-1.0,1,41.79613
-0.995317,6,43.521595
-0.984389,30,51.758655
-0.998742,2,52.293562
-0.998998,2,52.882496
-0.992106,7,54.756788
-0.992129,8,56.895834
-1.0,1,57.167336
-0.996293,4,58.309121
-0.998793,2,58.904399
-0.985832,13,62.41781
-0.997335,4,63.497784
-0.998546,3,64.333038
-0.999029,4,65.410275
-0.996663,4,66.466096
-0.998522,2,67.021408
-0.998547,2,67.570995
-0.994662,5,68.977382
-0.99634,5,70.425304
-0.998998,2,70.976702
-0.994121,5,72.387258
-0.995429,4,73.467165
-0.994492,5,74.931824
-0.999022,2,75.507884
-1.0,1,75.780207
-1.0,1,76.048252
-0.999011,3,76.835435
-0.998444,2,77.350406
-0.997856,3,78.18737
-0.999047,3,79.092907
-0.993061,6,80.762339
-0.998562,4,81.820017
-0.998798,3,82.627997
-0.995016,6,84.285061
-0.995707,4,85.365319
-0.991532,7,87.234531
-0.990976,8,89.483258
-0.998998,3,90.299904
-0.997538,4,91.385835
-0.999032,2,91.944408
-1.0,1,92.22353
-0.999001,2,92.771765
-0.997767,4,93.875306
-0.996553,4,95.001399
-0.997601,3,95.83665
-1.0,1,96.113911
-0.997257,4,97.196131
-0.998889,2,97.748151
-1.0,1,98.039081
-1.0,1,98.306798
-1.0,1,98.577463
-0.999036,2,99.123124
-0.99863,3,99.963897
-0.996621,4,101.045875
-0.998463,2,101.618354
-1.0,1,101.877267
-0.997973,3,102.679631
-1.0,1,102.96119
-0.997493,3,103.762758
-0.994439,6,105.433873
-0.999028,2,105.981675
-1.0,1,106.256418
-0.99507,5,107.615134
-0.999005,3,108.467409
-0.997752,3,109.333095
-1.0,1,109.636548
-1.0,1,109.930056
-0.993428,6,111.561185
-0.99892,4,112.670725
-1.0,1,112.954962
-0.99562,6,114.608788
-0.989661,8,116.808616
-0.997568,3,117.612439
-1.0,1,117.888677
-1.0,1,118.19287
-0.99425,7,120.092704
-1.0,1,120.390383
-0.998166,4,121.490143
-0.994955,5,122.83041
-0.999021,4,123.921301
-0.991045,7,125.854288
-0.995699,4,126.932832
-0.997977,3,127.781419
-0.998483,2,128.371466
-0.993087,6,130.041615
-0.998826,2,130.604938
-0.99406,6,132.29362
-1.0,1,132.577689
-0.997901,3,133.50844
-0.996085,5,134.92452
-0.992436,7,136.821411
-0.991019,9,139.228
-0.997149,3,140.061408
-1.0,1,140.349146
-0.997443,3,141.173921
-0.997377,3,142.01362
-0.998862,2,142.560405
-0.997113,4,143.619997
-0.998983,3,144.408626
-0.998659,2,144.940752
-0.989956,9,147.353288
-0.997265,4,148.4096
-0.998598,2,148.959482
-0.996749,4,150.052975
-0.992493,7,151.925109
-0.996971,3,152.748892
-0.997514,3,153.570223
-0.997295,3,154.403289
-0.995508,4,155.492249
-0.995558,4,156.562492
-0.98331,13,160.021928
-1.0,1,160.307006
-0.992044,6,161.928353
-0.995689,4,162.981881
-0.998425,2,163.528453
-0.995994,4,164.607268
-0.997921,3,165.409728
-0.998054,3,166.230746
-0.995517,6,167.793713
-0.987858,9,170.174806
-0.994729,5,171.538417
-0.994719,6,173.1544
-0.99902,3,173.965814
-1.0,1,174.230505
-0.997604,3,175.047812
-0.994585,6,176.689801
-0.997145,3,177.503214
-0.991336,7,179.383274
-0.996616,5,180.739243
-0.997494,4,181.867346
-0.997241,3,182.668583
-0.998502,2,183.215451
-1.0,1,183.488216
-0.999019,2,184.067675
-0.998486,2,184.588747
-1.0,1,184.858453
-0.990123,10,187.567065
-0.999017,2,188.108035
-0.999039,4,189.21068
-0.996986,3,190.010121
-0.998568,2,190.56232
-0.998998,4,191.657289
-0.990662,9,194.087354
-0.997093,4,195.143574
-0.983412,13,198.641217
-0.99732,4,199.708354
-0.997569,4,200.78789
-0.998759,2,201.335291
-0.996731,3,202.139106
-0.995187,5,203.476961
-0.996086,4,204.57183
-0.9986,2,205.109151
-0.996997,4,206.171346
-0.994213,6,207.774881
-0.996,5,209.095201
-0.990639,9,211.487264
-0.998629,2,212.030216
-0.998024,10,214.724474
-0.990284,10,217.357208
-0.99681,4,218.500002
-0.986219,12,221.717382
-0.994987,5,223.057475
-0.988147,11,226.007179
-0.999028,3,226.820141
-1.0,1,227.084371
-0.992189,8,229.236208
-0.992585,7,231.128558
-0.987032,11,234.101897
-0.999024,2,234.657451
-1.0,1,234.929071
-0.996946,3,235.749385
-0.998547,2,236.307488
-0.991128,7,238.191556
-1.0,1,238.466695
-0.99846,2,239.032422
-0.988386,10,241.713686
-1.0,1,241.979165
-0.992588,7,243.8295
-0.99647,4,244.898695
-0.997059,3,245.713067
-0.993636,6,247.317801
-0.994289,5,248.686363
-0.994648,5,250.041058
-0.9945,5,251.426847
-0.993098,6,253.035223
-0.999047,2,253.602993
-1.0,1,253.885074
-0.998759,2,254.414828
-0.997237,4,255.49298
-0.999028,2,256.018762
-0.996814,3,256.836949
-0.993913,6,258.399473
-0.998477,2,258.937155
-1.0,1,259.222363
-0.999019,2,259.764678
-0.994484,5,261.100302
-0.998471,2,261.644645
-0.990365,8,263.799806
-0.990285,9,266.236577
-0.999047,2,266.785212
-0.998596,3,267.610439
-0.99355,7,269.499317
-0.997509,4,270.562914
-0.99805,3,271.372988
-0.98982,9,273.822375
-0.999045,2,274.376652
-0.989815,9,276.841591
-0.994293,6,278.436733
-0.998193,3,279.238991
-0.998998,3,280.068887
-0.999002,2,280.614309
-1.0,1,280.887658
-0.997331,3,281.663767
-0.995275,5,282.960086
-0.998882,2,283.506348
-1.0,1,283.789233
-0.99847,2,284.325594
-1.0,1,284.593058
-0.997022,5,285.96782
-0.998437,2,286.510108
-0.99734,3,287.318403
-0.996911,4,288.397619
-0.996894,3,289.212727
-0.995359,5,290.53354
-0.996176,5,291.882083
-0.99423,6,293.52454
-0.999047,2,294.052847
-0.998123,4,295.145229
-0.99902,2,295.689976
-0.99642,4,296.777704
-1.0,1,297.060422
-0.996728,4,298.126616
-0.993071,6,299.763077
-1.0,1,300.029547
-0.996171,5,301.374732
-0.997892,4,302.467179
-0.994922,5,303.825556
-0.993641,6,305.451507
-0.982789,14,309.176644
-0.998632,2,309.730599
-0.998547,2,310.271091
