#{"t_start": 1774356949.3669596, "env_id": "None"}
r,l,t
-0.994941,5,3.101487
-0.997876,3,3.981392
-0.996507,4,5.056723
-0.994509,5,6.774185
-0.997581,4,8.318497
-0.988766,9,11.249835
-0.996743,4,12.705362
-0.997325,3,13.672859
-0.996032,4,14.970449
-1.0,1,15.330385
-1.0,1,15.647004
-0.993567,6,17.687769
-0.997628,3,18.619971
-0.998008,3,19.56876
-0.993705,7,22.075627
-1.0,1,22.459611
-0.998998,4,23.70469
-0.995877,5,25.245974
-0.993353,6,27.079945
-0.998898,2,27.733125
-0.991563,7,29.816441
-0.993807,5,31.233265
-0.983092,14,35.386637
-0.994174,7,37.422383
-0.994729,5,38.886226
-0.991602,7,40.785949
-1.0,1,41.065893
-0.996065,5,42.517067
-0.995515,5,43.902148
-1.0,1,44.165664
-0.998576,2,44.741764
-0.990835,7,46.641295
-0.988997,9,49.156414
-0.995778,4,50.21418
-0.994686,5,51.58369
-0.988107,11,54.591426
-0.997539,3,55.405348
-0.993031,7,57.285806
-0.994385,5,58.736273
-0.998468,3,59.53407
-0.999017,2,60.084362
-0.995092,6,61.717764
-0.998313,3,62.537102
-0.993593,6,64.156805
-1.0,1,64.451215
-0.998353,3,65.244076
-0.994015,6,66.85684
-1.0,1,67.139966
-0.994919,5,68.497341
-0.996642,4,69.707639
-0.998442,2,70.244821
-0.996792,4,71.36344
-1.0,1,71.668209
-0.990109,9,74.178251
-0.995457,4,75.312922
-0.990098,9,77.735966
-1.0,1,78.019241
-0.999013,2,78.577073
-0.995691,4,79.797907
-0.997738,4,80.880641
-0.998848,2,81.40483
-0.994279,6,83.0163
-0.991938,7,84.929806
-0.998543,2,85.485176
-0.99702,5,86.80474
-0.997035,4,87.903463
-0.997614,3,88.731911
-0.995603,4,89.869199
-0.995848,4,90.943125
-0.998573,2,91.509661
-1.0,1,91.779706
-0.99648,5,93.147984
-1.0,1,93.421381
-0.997232,5,94.825003
-0.995959,4,95.955761
-0.998256,3,96.757942
-0.999002,2,97.318173
-0.998673,2,97.870448
-0.992625,6,99.526683
-0.996,4,100.603282
-1.0,1,100.875131
-0.998999,2,101.421071
-0.991718,7,103.32863
-0.99754,4,104.445282
-1.0,1,104.729572
-0.996014,4,105.818698
-0.994974,8,108.004631
-0.99846,2,108.589926
-0.998878,2,109.136143
-1.0,1,109.471367
-0.994843,6,111.142984
-0.991658,8,113.336262
-0.99889,2,113.87556
-0.992719,7,115.836689
-0.998222,4,116.926595
-0.99388,5,118.310588
-0.990848,9,120.770775
-0.998775,3,121.612608
-0.996418,5,122.951003
-0.990468,9,125.426336
-0.994352,6,127.054607
-0.998796,2,127.596904
-1.0,1,127.920885
-1.0,1,128.200344
-0.997215,3,129.022808
-0.998379,2,129.577867
-0.996634,4,130.728834
-0.999047,2,131.286613
-0.9939,6,132.967685
-0.998381,4,134.162347
-0.993959,5,135.595838
-0.99079,7,137.469623
-0.991255,8,139.608119
-0.999014,2,140.178282
-0.99856,2,140.747679
-0.993888,6,142.378309
-0.999038,2,142.93319
-0.988194,10,145.587392
-0.983946,12,148.787362
-0.995965,4,149.875393
-0.994102,6,151.492304
-0.99637,4,152.579367
-0.996824,4,153.687246
-1.0,1,153.950498
-0.999021,3,154.794637
-0.997174,3,155.610286
-0.990448,8,157.732481
-0.996034,4,158.790186
-1.0,1,159.075439
-0.992717,6,160.67804
-0.991387,8,162.815409
-0.995604,5,164.176725
-0.99408,6,165.79587
-1.0,1,166.059894
-0.984375,12,169.246734
-0.997511,4,170.29515
-1.0,1,170.571683
-0.99575,4,171.659397
-0.997227,3,172.467924
-0.991692,9,174.878571
-0.995586,4,176.00267
-0.999047,2,176.526717
-1.0,1,176.803463
-1.0,1,177.069913
-0.992332,7,178.950921
-0.994859,5,180.300679
-0.99825,3,181.119489
-1.0,1,181.418812
-1.0,1,181.68435
-0.997399,5,183.050344
-0.998735,2,183.607469
-1.0,1,183.891855
-0.996087,4,184.9781
-0.995586,5,186.352041
-1.0,1,186.615179
-1.0,1,186.889701
-0.997499,3,187.686887
-0.998403,2,188.226149
-0.998949,2,188.774481
-0.992954,7,190.681721
-0.995406,7,192.565341
-0.99556,4,193.644765
-0.990786,8,195.806046
-0.998561,2,196.326085
-0.994391,6,197.926715
-0.997384,3,198.761907
-0.996669,4,199.825077
-0.996597,4,200.906211
-0.995566,4,201.977662
-0.99423,5,203.314828
-0.988183,11,206.291823
-0.990526,9,208.675662
-0.99571,4,209.743855
-1.0,1,210.019739
-1.0,1,210.29063
-0.99573,6,211.862739
-1.0,1,212.148618
-1.0,1,212.427142
-1.0,1,212.692924
-1.0,1,212.964686
-0.998797,3,213.747098
-0.994259,5,215.093328
-0.990748,9,217.474216
-0.994546,6,219.165034
-0.984253,13,222.630584
-0.992976,7,224.489773
-0.995193,5,225.828076
-0.996879,3,226.659177
-0.999047,4,227.742361
-0.988507,10,230.423932
-0.998418,4,231.518794
-1.0,1,231.781978
-0.998502,2,232.326662
-1.0,1,232.590223
-0.997608,4,233.654454
-0.994863,5,235.048469
-0.999024,3,235.870202
-0.992119,7,237.754167
-0.99686,4,238.873239
-0.996687,4,239.944399
-0.999027,2,240.47624
-0.98654,13,243.950037
-0.998713,11,246.884247
-0.998444,3,247.702691
-1.0,1,247.967892
-0.999041,2,248.508624
-0.998376,3,249.347172
-0.998615,4,250.432866
-0.998578,3,251.261517
-0.998159,4,252.352652
-0.996314,4,253.444075
-0.993038,7,255.334307
-0.984277,16,259.599902
-0.99883,3,260.401332
-1.0,1,260.681528
-0.990573,7,262.555714
-0.997215,3,263.366254
-1.0,1,263.632165
-0.998759,2,264.194821
-0.995661,4,265.267817
-0.98451,12,268.547043
-0.991951,8,270.680629
-0.995522,4,271.748131
-0.998802,4,272.819852
-0.998721,2,273.36148
-0.9972,3,274.203871
-1.0,1,274.49208
-0.99848,4,275.578518
-1.0,1,275.855792
-0.997133,3,276.675382
-0.989506,10,279.359506
-0.996784,3,280.187815
-0.987077,12,283.336339
-1.0,1,283.624959
-0.989716,10,286.339056
-0.998846,2,286.88187
-0.998615,2,287.437279
-0.999014,2,287.983608
-0.999012,2,288.518066
-1.0,1,288.780005
-0.999028,2,289.329059
-0.996298,4,290.36558
-0.998897,2,290.916448
-0.997225,3,291.715917
-0.998397,2,292.253421
-0.999019,2,292.788589
-1.0,1,293.087491
-1.0,1,293.352282
-0.996993,5,294.707242
-0.995567,5,296.060458
-0.997265,3,296.897061
-0.998135,3,297.705328
-0.996571,4,298.773208
-1.0,1,299.065703
-0.993623,6,300.679847
-0.997066,3,301.494319
-0.998183,3,302.302938
-0.998538,2,302.857772
-0.998808,4,303.944878
-0.999019,3,304.728668
-0.998091,4,305.827149
-0.990714,8,307.953871
-0.997195,5,309.295704
-0.996983,4,310.389958
-0.998506,2,310.942685
-0.999009,2,311.47906
-0.998885,2,312.028714
-1.0,1,312.326236
-0.9975,3,313.1291
-0.996236,4,314.243648
-0.998557,2,314.78575
-0.987714,11,317.724094
-0.995649,4,318.807287
-0.998694,2,319.364017
-0.998505,2,319.908809
-0.995119,5,321.250317
-0.99109,8,323.371753
-0.99887,3,324.189211
-0.995707,4,325.277693
-0.998828,2,325.819778
-0.985839,12,329.028525
-0.991101,9,331.487924
-0.995523,5,332.861946
-0.997941,3,333.663715
-0.995032,7,335.519779
-0.993421,7,337.405224
-0.998447,2,337.95354
-0.997732,9,340.367975
-0.994239,7,342.229801
-0.998108,4,343.330494
-0.987523,10,346.025126
-1.0,1,346.305887
-0.997153,3,347.110686
-0.998564,2,347.640235
-0.995202,5,348.984368
-1.0,1,349.268761
-0.996897,3,350.100908
-0.994457,6,351.696225
-0.995798,5,353.071937
-0.99858,2,353.628787
-0.995198,6,355.224566
-0.989237,8,357.36739
-0.997293,3,358.189689
-0.998998,2,358.735034
-0.993572,7,360.663958
-0.998263,3,361.472345
-0.992135,8,363.611294
-0.998598,2,364.140067
-0.997105,3,364.951952
-0.993377,6,366.553254
-0.999001,4,367.639171
-0.995565,4,368.717254
-0.993872,5,370.030206
-0.991102,10,372.909039
-0.998677,3,373.692577
-1.0,1,373.971031
-0.987448,9,376.379841
-0.996907,5,377.704514
-0.986202,13,381.155761
-0.997467,4,382.246405
-0.997858,3,383.040659
-0.993009,7,384.938673
-1.0,1,385.21656
-1.0,1,385.492902
-0.99794,4,386.549942
-0.997432,5,387.908531
-0.998998,3,388.699264
-1.0,1,388.982566
-0.986278,11,391.88901
-0.993836,5,393.221826
-0.995453,4,394.28046
-0.996513,4,395.364657
-0.998977,4,396.457641
-0.997135,4,397.550187
-0.998573,2,398.126616
-1.0,1,398.414549
-0.998562,2,398.969816
-0.999031,2,399.519846
-0.996054,4,400.60119
-0.998604,3,401.413894
-0.9964,4,402.484815
-0.998812,2,403.032683
-0.998945,2,403.581055
-0.996566,4,404.651865
-0.998489,2,405.209676
-0.987854,11,408.186637
-0.994076,6,409.773693
-0.987264,12,412.987411
-0.997351,3,413.789654
-0.990635,9,416.171427
-0.998168,4,417.248973
-0.996826,3,418.08599
-0.99625,5,419.450767
-0.99902,3,420.271622
-0.995299,4,421.340391
-0.99598,5,422.675999
-1.0,1,422.96894
-0.997665,3,423.78934
-0.997027,3,424.573882
-0.991466,7,426.454973
-0.999047,2,426.996321
-1.0,1,427.277517
-0.998252,3,428.084789
-0.995339,4,429.169235
-0.991086,8,431.313312
-0.999031,2,431.855773
-1.0,1,432.132776
-0.995773,5,433.491259
-0.993751,6,435.474011
-0.995867,4,436.565684
-1.0,1,436.8439
-0.997227,4,437.915685
-0.995221,6,439.518906
-0.996368,5,440.917639
-0.997013,4,442.00048
-0.998903,2,442.558255
-0.998048,4,443.661841
-0.9984,2,444.198254
-0.994573,5,445.515721
-1.0,1,445.78378
-0.999002,2,446.329808
-1.0,1,446.597016
-0.994445,6,448.235205
-0.998998,2,448.786606
-0.998538,2,449.307852
-0.996546,4,450.36424
-0.996483,5,451.737571
-0.998502,2,452.278021
-0.998844,4,453.355602
-0.996832,3,454.168596
-0.999007,2,454.707632
-0.990713,8,456.865223
-0.997898,4,457.936301
-0.9914,7,459.845685
-1.0,1,460.123302
-0.997602,4,461.195136
-0.991652,8,463.323523
-0.995781,6,464.904617
-1.0,1,465.204738
-0.991852,7,467.043615
-0.9959,5,468.408363
-0.993078,6,470.024152
-0.997491,3,470.824422
-0.994932,9,473.252748
-0.998454,2,473.803451
-0.994186,5,475.143223
-0.996203,6,476.720292
-0.994297,5,478.057678
-0.99849,4,479.150343
-0.998998,3,479.981547
-0.997544,3,480.787488
-0.998477,2,481.310229
-0.998301,3,482.11564
-0.996322,4,483.195181
-0.996431,5,484.522614
-0.997104,5,485.878433
-1.0,1,486.164755
-0.998394,2,486.702439
-0.998998,2,487.231953
-0.993623,6,488.834196
-0.997262,3,489.648915
-0.998463,2,490.215376
-0.998499,2,490.753987
-0.998446,2,491.313539
-0.99863,2,491.825604
-0.998406,3,492.635613
-0.997377,5,493.985233
-0.996928,3,494.815059
-0.992441,7,496.636818
-0.996564,4,497.716518
-1.0,1,497.995572
-0.996876,3,498.830726
-0.999047,3,499.642419
-0.996982,4,500.721589
-0.999007,2,501.260711
-0.995564,4,502.338415
-0.999017,2,502.896405
-0.986433,10,505.563621
-0.998496,2,506.101981
-0.989382,8,508.237001
-0.997135,3,509.060872
-0.993844,5,510.381924
-1.0,1,510.661223
-0.999011,2,511.212511
-0.997034,3,512.044358
-0.997315,5,513.379809
-0.992627,8,515.578847
-0.996178,4,516.675533
-0.998429,4,517.739515
-0.998911,3,518.541444
-1.0,1,518.825448
-1.0,1,519.11145
-0.995439,4,520.164277
-0.975672,18,524.962215
-0.99669,4,526.016809
-1.0,1,526.279493
-0.997003,3,527.090365
-0.980009,17,531.665183
-0.995598,5,533.000116
-0.996371,5,534.332323
-0.993608,6,535.943144
-1.0,1,536.233753
-0.989114,9,538.650615
-0.999029,2,539.20353
-0.993027,7,541.092597
-0.992855,7,543.00283
-0.989583,9,545.428246
-0.987288,12,548.641701
-0.996101,4,549.729198
-0.998437,4,550.798186
-0.999014,2,551.338617
-0.985386,11,554.314291
-0.992544,7,556.213799
-0.988156,10,558.873024
-0.991242,8,561.00561
-1.0,1,561.290472
-0.998527,2,561.820971
-0.997388,5,563.162932
